,Date,ADANIENT_OPEN,ADANIENT_PREV. CLOSE,ADANIENT_close,ADANIENT_VOLUME,ADANIPORTS_OPEN,ADANIPORTS_PREV. CLOSE,ADANIPORTS_close,ADANIPORTS_VOLUME,APOLLOHOSP_OPEN,APOLLOHOSP_PREV. CLOSE,APOLLOHOSP_close,APOLLOHOSP_VOLUME,ASIANPAINT_OPEN,ASIANPAINT_PREV. CLOSE,ASIANPAINT_close,ASIANPAINT_VOLUME,AXISBANK_OPEN,AXISBANK_PREV. CLOSE,AXISBANK_close,AXISBANK_VOLUME,BAJAJ-AUTO_OPEN,BAJAJ-AUTO_PREV. CLOSE,BAJAJ-AUTO_close,BAJAJ-AUTO_VOLUME,BAJAJFINSV_OPEN,BAJAJFINSV_PREV. CLOSE,BAJAJFINSV_close,BAJAJFINSV_VOLUME,BAJFINANCE_OPEN,BAJFINANCE_PREV. CLOSE,BAJFINANCE_close,BAJFINANCE_VOLUME,BHARTIARTL_OPEN,BHARTIARTL_PREV. CLOSE,BHARTIARTL_close,BHARTIARTL_VOLUME,BPCL_OPEN,BPCL_PREV. CLOSE,BPCL_close,BPCL_VOLUME,BRITANNIA_OPEN,BRITANNIA_PREV. CLOSE,BRITANNIA_close,BRITANNIA_VOLUME,CIPLA_OPEN,CIPLA_PREV. CLOSE,CIPLA_close,CIPLA_VOLUME,COALINDIA_OPEN,COALINDIA_PREV. CLOSE,COALINDIA_close,COALINDIA_VOLUME,DIVISLAB_OPEN,DIVISLAB_PREV. CLOSE,DIVISLAB_close,DIVISLAB_VOLUME,DRREDDY_OPEN,DRREDDY_PREV. CLOSE,DRREDDY_close,DRREDDY_VOLUME,EICHERMOT_OPEN,EICHERMOT_PREV. CLOSE,EICHERMOT_close,EICHERMOT_VOLUME,GRASIM_OPEN,GRASIM_PREV. CLOSE,GRASIM_close,GRASIM_VOLUME,HCLTECH_OPEN,HCLTECH_PREV. CLOSE,HCLTECH_close,HCLTECH_VOLUME,HDFC_OPEN,HDFC_PREV. CLOSE,HDFC_close,HDFC_VOLUME,HDFCBANK_OPEN,HDFCBANK_PREV. CLOSE,HDFCBANK_close,HDFCBANK_VOLUME,HDFCLIFE_OPEN,HDFCLIFE_PREV. CLOSE,HDFCLIFE_close,HDFCLIFE_VOLUME,HEROMOTOCO_OPEN,HEROMOTOCO_PREV. CLOSE,HEROMOTOCO_close,HEROMOTOCO_VOLUME,HINDALCO_OPEN,HINDALCO_PREV. CLOSE,HINDALCO_close,HINDALCO_VOLUME,HINDUNILVR_OPEN,HINDUNILVR_PREV. CLOSE,HINDUNILVR_close,HINDUNILVR_VOLUME,ICICIBANK_OPEN,ICICIBANK_PREV. CLOSE,ICICIBANK_close,ICICIBANK_VOLUME,INDUSINDBK_OPEN,INDUSINDBK_PREV. CLOSE,INDUSINDBK_close,INDUSINDBK_VOLUME,INFY_OPEN,INFY_PREV. CLOSE,INFY_close,INFY_VOLUME,ITC_OPEN,ITC_PREV. CLOSE,ITC_close,ITC_VOLUME,JSWSTEEL_OPEN,JSWSTEEL_PREV. CLOSE,JSWSTEEL_close,JSWSTEEL_VOLUME,KOTAKBANK_OPEN,KOTAKBANK_PREV. CLOSE,KOTAKBANK_close,KOTAKBANK_VOLUME,LT_OPEN,LT_PREV. CLOSE,LT_close,LT_VOLUME,M&M_OPEN,M&M_PREV. CLOSE,M&M_close,M&M_VOLUME,MARUTI_OPEN,MARUTI_PREV. CLOSE,MARUTI_close,MARUTI_VOLUME,NESTLEIND_OPEN,NESTLEIND_PREV. CLOSE,NESTLEIND_close,NESTLEIND_VOLUME,NTPC_OPEN,NTPC_PREV. CLOSE,NTPC_close,NTPC_VOLUME,ONGC_OPEN,ONGC_PREV. CLOSE,ONGC_close,ONGC_VOLUME,POWERGRID_OPEN,POWERGRID_PREV. CLOSE,POWERGRID_close,POWERGRID_VOLUME,RELIANCE_OPEN,RELIANCE_PREV. CLOSE,RELIANCE_close,RELIANCE_VOLUME,SBILIFE_OPEN,SBILIFE_PREV. CLOSE,SBILIFE_close,SBILIFE_VOLUME,SBIN_OPEN,SBIN_PREV. CLOSE,SBIN_close,SBIN_VOLUME,SUNPHARMA_OPEN,SUNPHARMA_PREV. CLOSE,SUNPHARMA_close,SUNPHARMA_VOLUME,TATACONSUM_OPEN,TATACONSUM_PREV. CLOSE,TATACONSUM_close,TATACONSUM_VOLUME,TATAMOTORS_OPEN,TATAMOTORS_PREV. CLOSE,TATAMOTORS_close,TATAMOTORS_VOLUME,TATASTEEL_OPEN,TATASTEEL_PREV. CLOSE,TATASTEEL_close,TATASTEEL_VOLUME,TCS_OPEN,TCS_PREV. CLOSE,TCS_close,TCS_VOLUME,TECHM_OPEN,TECHM_PREV. CLOSE,TECHM_close,TECHM_VOLUME,TITAN_OPEN,TITAN_PREV. CLOSE,TITAN_close,TITAN_VOLUME,ULTRACEMCO_OPEN,ULTRACEMCO_PREV. CLOSE,ULTRACEMCO_close,ULTRACEMCO_VOLUME,UPL_OPEN,UPL_PREV. CLOSE,UPL_close,UPL_VOLUME,WIPRO_OPEN,WIPRO_PREV. CLOSE,WIPRO_close,WIPRO_VOLUME,Volatility,Sharpe_Ratio,Equity Curve
0,2020-10-01,299.8,297.1,308.15,6914505.0,345.5,341.75,353.3,3004005.0,2151.0,2148.05,2089.75,1224430.0,2007.0,1986.4,2040.45,2014304.0,430.2,424.65,443.7,21083336.0,2940.0,2881.1,2985.4,4741959.0,5907.0,5852.35,6053.6,680757.0,3325.0,3278.6,3442.8,5382106.0,426.0,420.95,432.35,13344280.0,358.0,353.05,353.3,16212565.0,3820.0,3798.15,3808.6,336322.0,779.8,774.7,773.0,5852563.0,117.1,116.0,117.25,9963716.0,3060.0,3047.95,3064.9,740847.0,5225.0,5187.8,5112.05,2277137.0,2190.0,2202.8,2197.65,999891.0,749.2,744.2,754.55,2403720.0,819.9,811.6,812.95,4321350.0,1755.0,1740.05,1790.65,3706206.0,1090.1,1078.6,1106.95,10601566.0,568.0,559.4,569.2,1477382.0,3165.0,3147.3,3151.45,1459005.0,177.2,175.25,174.1,12663081.0,2090.0,2068.25,2095.0,2131593.0,358.25,354.75,369.2,23237126.0,540.0,527.4,592.2,49858887.0,1020.6,1008.25,1017.65,5563432.0,174.5,171.7,170.85,19758300.0,281.45,277.75,282.05,4873599.0,1280.0,1268.2,1305.05,3162424.0,909.95,901.6,902.8,2506559.0,614.7,607.9,610.15,3842331.0,6838.2,6743.45,6796.3,1256003.0,15919.0,15918.65,16000.5,62638.0,85.8,85.1,84.9,18244685.0,67.5,69.25,69.15,20869336.0,164.75,162.45,164.6,8356973.0,2263.8,2234.35,2225.25,9591467.0,817.0,811.45,818.9,941061.0,187.0,185.4,190.3,43589041.0,505.1,500.45,506.9,6733155.0,508.55,499.95,509.1,3070369.0,135.9,133.3,133.5,40491787.0,364.3,359.75,364.95,9555123.0,2510.0,2492.3,2523.45,2610338.0,798.2,791.75,822.5,10104769.0,1203.6,1201.35,1198.65,2990243.0,4088.0,4049.55,4097.75,406483.0,508.0,502.9,505.65,2462815.0,316.4,313.55,313.05,9257331.0,98.50637999873321,0.9983527990393618,266137501993.99997
1,2020-10-05,311.5,308.15,326.6,20009598.0,355.9,353.3,350.35,11896462.0,2095.0,2089.75,2126.75,1594712.0,2040.45,2040.45,2028.0,1554873.0,444.05,443.7,444.15,24252479.0,3016.4,2985.4,2952.3,904981.0,6090.0,6053.6,5881.15,737911.0,3465.0,3442.8,3382.9,4207264.0,432.35,432.35,424.45,15001368.0,353.3,353.3,354.15,6589016.0,3815.0,3808.6,3830.45,460889.0,776.0,773.0,778.65,6798053.0,117.95,117.25,118.4,8141488.0,3080.0,3064.9,3126.2,1059435.0,5170.0,5112.05,5159.5,1837683.0,2210.65,2197.65,2210.15,930509.0,752.2,754.55,750.15,1900046.0,828.8,812.95,824.2,11890211.0,1784.0,1790.65,1785.1,4056801.0,1112.0,1106.95,1114.35,8470109.0,572.0,569.2,574.75,2490303.0,3225.0,3151.45,3129.2,1375208.0,175.0,174.1,179.05,13647877.0,2100.0,2095.0,2111.05,1646114.0,370.75,369.2,373.1,26530162.0,593.2,592.2,601.55,43964465.0,1018.05,1017.65,1048.7,14212560.0,171.1,170.85,169.25,24301177.0,284.3,282.05,290.1,9269669.0,1310.0,1305.05,1314.6,3860011.0,907.95,902.8,896.95,2788003.0,615.0,610.15,607.0,5977265.0,6865.0,6796.3,6818.85,833481.0,15998.0,16000.5,16033.15,71081.0,85.0,84.9,84.45,15684514.0,69.0,69.15,69.2,12608190.0,164.0,164.6,162.85,5827561.0,2244.0,2225.25,2212.2,8732890.0,822.0,818.9,824.95,803756.0,192.0,190.3,188.75,41694812.0,507.0,506.9,523.1,8831632.0,513.4,509.1,503.55,2023148.0,136.95,133.5,133.9,55268395.0,370.1,364.95,382.3,19590635.0,2620.0,2523.45,2705.8,17412119.0,822.55,822.5,841.25,8551126.0,1201.0,1198.65,1194.35,2151235.0,4114.1,4097.75,4047.15,313282.0,509.5,505.65,507.1,2533261.0,315.2,313.05,333.95,38906392.0,98.47467152855303,0.9959638853318747,320423264331.45
2,2020-10-06,329.4,326.6,327.15,7705557.0,356.0,350.35,362.9,7483578.0,2142.5,2126.75,2125.8,903168.0,2050.0,2028.0,2090.0,3152388.0,449.5,444.15,449.65,19387356.0,2985.0,2952.3,2972.25,678723.0,5957.0,5881.15,5995.4,606115.0,3439.9,3382.9,3474.3,4758841.0,427.0,424.45,426.75,10876652.0,356.7,354.15,352.05,6886918.0,3870.0,3830.45,3765.85,666856.0,782.0,778.65,780.35,4789613.0,119.35,118.4,116.8,11221877.0,3160.0,3126.2,3162.6,1403318.0,5159.5,5159.5,5136.5,1690007.0,2223.8,2210.15,2197.6,2754316.0,750.25,750.15,757.7,1854621.0,830.0,824.2,829.15,7848520.0,1803.15,1785.1,1934.4,16829628.0,1135.05,1114.35,1144.1,9685997.0,577.5,574.75,582.05,5665979.0,3142.6,3129.2,3136.35,849217.0,180.6,179.05,176.9,13192336.0,2119.0,2111.05,2115.9,1679500.0,377.1,373.1,380.6,18093629.0,615.95,601.55,622.8,25112903.0,1055.0,1048.7,1055.75,9090819.0,169.5,169.25,169.9,21886300.0,292.75,290.1,291.35,9592838.0,1325.0,1314.6,1338.25,2632531.0,901.05,896.95,892.6,3497327.0,611.6,607.0,627.4,9071955.0,6858.0,6818.85,6892.4,756215.0,16033.0,16033.15,15876.85,75278.0,84.45,84.45,84.15,13094249.0,70.0,69.2,69.35,10028722.0,163.1,162.85,163.2,5056417.0,2225.25,2212.2,2210.35,8497352.0,826.0,824.95,830.05,1211894.0,191.1,188.75,191.6,31098807.0,526.0,523.1,521.05,8537289.0,507.0,503.55,505.6,2973464.0,138.0,133.9,144.75,162047240.0,386.8,382.3,377.4,14286376.0,2736.0,2705.8,2714.3,9846376.0,854.95,841.25,847.4,4902536.0,1204.0,1194.35,1199.95,2087273.0,4055.2,4047.15,4136.1,351025.0,511.45,507.1,509.55,3662272.0,335.0,333.95,330.05,27579966.0,98.4544019011615,0.9971080917803423,308199721933.39996
3,2020-10-07,325.15,327.15,330.1,8234015.0,362.55,362.9,360.65,4024902.0,2119.7,2125.8,2173.1,1470504.0,2080.0,2090.0,2105.0,2429595.0,447.0,449.65,453.1,19873845.0,2975.0,2972.25,3077.4,2126267.0,5920.0,5995.4,5905.25,581228.0,3400.0,3474.3,3331.15,6571280.0,427.8,426.75,422.45,10202818.0,353.0,352.05,342.25,10276023.0,3780.0,3765.85,3785.95,590795.0,780.0,780.35,773.6,6086372.0,117.1,116.8,114.45,11941001.0,3190.0,3162.6,3181.9,1304054.0,5145.0,5136.5,5104.95,1582414.0,2208.0,2197.6,2238.0,1517302.0,755.0,757.7,759.65,1626654.0,830.0,829.15,828.05,6980002.0,1945.0,1934.4,1948.75,7038044.0,1144.9,1144.1,1162.25,10624527.0,585.0,582.05,578.95,2588117.0,3140.0,3136.35,3233.65,2071160.0,176.9,176.9,172.85,11851391.0,2123.0,2115.9,2139.35,2428598.0,379.3,380.6,382.65,21845796.0,620.95,622.8,619.1,19071860.0,1044.9,1055.75,1066.55,9284060.0,170.0,169.9,169.5,16286695.0,290.0,291.35,291.45,8126575.0,1339.9,1338.25,1324.7,2834734.0,895.0,892.6,887.9,5074140.0,629.9,627.4,631.6,6086867.0,6920.0,6892.4,7046.9,1101957.0,15956.2,15876.85,16114.4,99647.0,84.2,84.15,82.8,19057128.0,69.3,69.35,70.5,50074521.0,163.0,163.2,159.6,9908062.0,2235.0,2210.35,2257.5,24538620.0,832.5,830.05,827.95,637358.0,192.55,191.6,190.7,34578821.0,516.1,521.05,511.75,8346537.0,507.0,505.6,505.05,2157279.0,144.25,144.75,141.0,68274103.0,376.0,377.4,371.1,9694124.0,2742.0,2714.3,2735.95,9656167.0,847.0,847.4,846.35,3943818.0,1205.0,1199.95,1254.0,9411160.0,4122.75,4136.1,4213.35,1037715.0,511.45,509.55,510.85,4997523.0,327.0,330.05,335.3,17739988.0,98.39529243773252,0.9901930317294013,332529046026.80005
4,2020-10-08,329.0,330.1,316.25,4125999.0,359.8,360.65,359.75,3036028.0,2190.0,2173.1,2248.65,1899347.0,2104.5,2105.0,2088.65,1427500.0,455.55,453.1,451.9,20909290.0,3070.0,3077.4,3074.55,1009344.0,5950.0,5905.25,5871.95,588982.0,3354.0,3331.15,3326.45,4461846.0,426.0,422.45,424.45,16705222.0,344.9,342.25,340.05,9589647.0,3798.9,3785.95,3794.7,371495.0,775.0,773.6,811.45,12019994.0,114.7,114.45,113.3,11663413.0,3188.0,3181.9,3231.45,1003283.0,5144.0,5104.95,5194.4,2220562.0,2253.0,2238.0,2208.8,1515393.0,765.0,759.65,770.35,2220310.0,857.5,828.05,849.55,25860578.0,1952.5,1948.75,1949.25,4589506.0,1180.0,1162.25,1191.8,17530368.0,586.5,578.95,583.15,9288183.0,3250.0,3233.65,3279.15,1414051.0,172.85,172.85,174.25,11214159.0,2147.0,2139.35,2160.8,1617382.0,385.0,382.65,387.5,21085576.0,620.0,619.1,617.7,20978257.0,1090.0,1066.55,1093.7,21483024.0,170.1,169.5,167.15,25503975.0,291.5,291.45,292.95,11623030.0,1326.5,1324.7,1320.1,5171263.0,890.3,887.9,881.05,3918967.0,634.15,631.6,634.15,4683786.0,7090.0,7046.9,7079.85,851205.0,16100.0,16114.4,16304.6,78576.0,83.1,82.8,82.6,11961713.0,70.9,70.5,68.45,21348290.0,160.2,159.6,158.3,7286584.0,2259.0,2257.5,2239.25,9727508.0,835.25,827.95,821.05,1313341.0,191.35,190.7,191.5,43351954.0,514.6,511.75,524.1,9392759.0,506.8,505.05,488.25,5419804.0,142.85,141.0,140.95,40943141.0,374.45,371.1,373.65,14111169.0,2800.0,2735.95,2825.7,19839826.0,862.0,846.35,860.3,11398850.0,1257.0,1254.0,1254.15,3144920.0,4225.0,4213.35,4346.0,801790.0,513.95,510.85,509.4,2814294.0,351.0,335.3,359.45,107270570.0,98.44804993313421,0.9949157631300622,390000155065.74994
5,2020-10-09,318.8,316.25,313.0,2468904.0,361.0,359.75,357.2,1988867.0,2244.9,2248.65,2277.1,2181213.0,2094.0,2088.65,2050.6,1636939.0,453.3,451.9,468.05,28049405.0,3080.0,3074.55,3059.8,698670.0,5885.0,5871.95,5915.2,659334.0,3324.9,3326.45,3317.9,5684150.0,428.0,424.45,425.2,20563361.0,340.5,340.05,345.0,13430785.0,3807.0,3794.7,3745.1,347685.0,813.0,811.45,803.15,11673228.0,113.35,113.3,114.9,15958362.0,3255.0,3231.45,3190.0,952510.0,5151.0,5194.4,5153.0,2333975.0,2211.2,2208.8,2217.95,1207911.0,769.55,770.35,745.1,2905184.0,852.9,849.55,855.75,7286954.0,1945.0,1949.25,1957.65,10848230.0,1201.0,1191.8,1233.55,22486215.0,587.0,583.15,573.8,4556031.0,3300.0,3279.15,3327.4,1358012.0,177.0,174.25,170.0,30474584.0,2150.0,2160.8,2139.65,2001031.0,390.7,387.5,401.5,41641261.0,618.05,617.7,623.05,18622258.0,1095.1,1093.7,1106.8,10567955.0,167.5,167.15,167.85,22373477.0,293.15,292.95,292.0,7301282.0,1323.0,1320.1,1319.85,5312701.0,887.4,881.05,908.45,9668658.0,634.15,634.15,633.2,4972965.0,7060.0,7079.85,7062.4,839682.0,16250.0,16304.6,16034.1,74246.0,82.85,82.6,82.9,18016487.0,69.0,68.45,70.3,25747434.0,158.7,158.3,158.0,6738774.0,2235.0,2239.25,2233.45,8558747.0,826.15,821.05,805.9,1188895.0,192.0,191.5,198.3,64908374.0,525.0,524.1,512.9,11469442.0,490.2,488.25,471.25,6721697.0,141.15,140.95,138.45,37097517.0,376.05,373.65,369.5,22006588.0,2810.0,2825.7,2812.95,7739375.0,860.5,860.3,854.15,5306816.0,1254.15,1254.15,1255.2,1873196.0,4340.0,4346.0,4298.35,405756.0,510.4,509.4,497.3,3712048.0,362.0,359.45,374.0,55431052.0,98.42167847821307,0.9774109815787978,350013391501.80005
6,2020-10-12,315.0,313.0,315.35,2556329.0,359.1,357.2,357.65,3626399.0,2231.0,2277.1,2273.65,2053058.0,2067.9,2050.6,2077.85,2182836.0,473.5,468.05,468.0,21261504.0,3051.0,3059.8,3022.75,632718.0,5967.5,5915.2,5912.75,401483.0,3350.0,3317.9,3327.2,3204677.0,428.0,425.2,415.05,14063002.0,347.0,345.0,341.6,4797109.0,3769.1,3745.1,3731.5,286506.0,805.0,803.15,813.65,6612623.0,115.3,114.9,113.2,7949877.0,3192.3,3190.0,3207.25,1176234.0,5158.1,5153.0,5220.5,1935812.0,2233.0,2217.95,2181.35,1098858.0,746.15,745.1,744.7,2813652.0,860.8,855.75,865.8,8717565.0,1965.0,1957.65,1965.4,3651557.0,1231.55,1233.55,1213.65,9610277.0,576.45,573.8,563.4,2349606.0,3350.8,3327.4,3284.7,1438745.0,174.0,170.0,172.15,16792494.0,2145.2,2139.65,2138.4,1741171.0,403.45,401.5,404.05,25742604.0,628.2,623.05,614.45,11751051.0,1123.0,1106.8,1132.1,14633780.0,170.5,167.85,172.2,66250654.0,294.9,292.0,285.15,10299648.0,1328.0,1319.85,1312.9,5175329.0,916.95,908.45,905.75,6188907.0,637.9,633.2,634.4,3247642.0,7110.0,7062.4,7136.65,799713.0,16100.0,16034.1,15902.2,58171.0,83.65,82.9,82.75,11714370.0,70.3,70.3,69.15,10564969.0,159.2,158.0,159.8,11627290.0,2235.0,2233.45,2237.05,6565525.0,812.9,805.9,791.65,1097167.0,199.7,198.3,198.7,69125880.0,514.9,512.9,513.9,7092678.0,474.5,471.25,474.7,4422571.0,139.65,138.45,135.9,39279464.0,373.5,369.5,371.1,15756861.0,2815.5,2812.95,2830.0,4623211.0,861.0,854.15,856.9,3343240.0,1260.2,1255.2,1256.75,2009418.0,4300.0,4298.35,4306.3,488896.0,499.9,497.3,507.1,3332484.0,377.0,374.0,377.5,52966063.0,98.25454275059494,0.9859282159762369,270123067792.65002
7,2020-10-13,315.5,315.35,313.2,1454129.0,357.65,357.65,349.9,2413111.0,2282.25,2273.65,2254.45,939023.0,2077.0,2077.85,2064.65,2619253.0,465.9,468.0,461.35,15582653.0,3025.0,3022.75,3034.45,456767.0,5900.0,5912.75,5867.65,365642.0,3319.95,3327.2,3272.6,3777675.0,421.15,415.05,415.3,27781773.0,342.4,341.6,339.1,5279555.0,3732.0,3731.5,3745.65,368886.0,810.0,813.65,787.15,13964627.0,113.3,113.2,113.85,9702596.0,3214.0,3207.25,3139.15,1080397.0,5230.0,5220.5,5168.75,3363975.0,2184.25,2181.35,2219.55,1587482.0,742.8,744.7,749.45,2740418.0,866.3,865.8,900.4,18948688.0,1962.0,1965.4,1943.4,3351027.0,1213.4,1213.65,1198.45,9177015.0,564.4,563.4,566.7,2122839.0,3283.5,3284.7,3288.05,847392.0,170.45,172.15,173.25,9712363.0,2137.95,2138.4,2138.2,1679176.0,401.0,404.05,396.25,19922840.0,611.6,614.45,608.2,11579418.0,1135.55,1132.1,1157.8,17524137.0,172.85,172.2,170.15,35685353.0,285.0,285.15,289.95,7541780.0,1319.65,1312.9,1344.95,4872154.0,907.95,905.75,896.45,4548652.0,634.35,634.4,627.9,3769229.0,7135.0,7136.65,7032.9,819418.0,15880.0,15902.2,15673.0,76235.0,82.8,82.75,82.65,11509196.0,69.1,69.15,69.1,9070869.0,160.0,159.8,160.45,6288739.0,2230.6,2237.05,2280.7,10666280.0,790.0,791.65,786.55,1142720.0,198.65,198.7,195.7,34949604.0,514.0,513.9,503.15,8851581.0,473.8,474.7,468.95,2260828.0,135.4,135.9,134.1,38973857.0,372.0,371.1,368.35,11902564.0,2845.0,2830.0,2826.55,4209905.0,856.9,856.9,868.2,7327536.0,1257.55,1256.75,1228.85,4735316.0,4448.0,4306.3,4382.75,2369441.0,507.8,507.1,506.5,3992135.0,377.3,377.5,375.95,36092383.0,98.3238478717835,0.9942101230945523,292177866834.35
8,2020-10-14,312.95,313.2,313.4,1517710.0,349.1,349.9,348.95,2363439.0,2265.0,2254.45,2227.7,1405987.0,2070.0,2064.65,2071.35,1530567.0,458.0,461.35,471.3,13984719.0,3037.95,3034.45,3054.15,822555.0,5870.0,5867.65,6100.05,1029536.0,3268.0,3272.6,3372.05,5304447.0,416.4,415.3,413.25,14110038.0,337.75,339.1,332.9,8089512.0,3743.0,3745.65,3789.8,545911.0,788.8,787.15,781.5,8675723.0,113.2,113.85,110.55,19663423.0,3156.0,3139.15,3130.45,792943.0,5175.0,5168.75,5123.0,1864628.0,2201.2,2219.55,2253.9,1358100.0,743.0,749.45,763.6,2406038.0,904.0,900.4,890.45,15441223.0,1935.0,1943.4,1979.85,3108218.0,1195.55,1198.45,1211.5,11291473.0,564.9,566.7,572.35,3958474.0,3303.0,3288.05,3310.8,1188612.0,173.0,173.25,174.2,10704122.0,2132.6,2138.2,2158.15,2123033.0,394.35,396.25,406.8,23368688.0,600.0,608.2,622.65,14624576.0,1162.0,1157.8,1137.0,16649731.0,170.55,170.15,167.8,38219096.0,289.25,289.95,290.65,6525761.0,1335.25,1344.95,1353.35,3358472.0,897.0,896.45,915.2,5287050.0,623.4,627.9,623.85,2776984.0,7040.0,7032.9,7002.35,779634.0,15674.0,15673.0,15673.05,66595.0,82.8,82.65,79.1,47114567.0,68.5,69.1,67.0,24828155.0,160.45,160.45,157.05,7516362.0,2278.9,2280.7,2287.5,12341487.0,788.0,786.55,810.6,2146423.0,194.05,195.7,200.05,40550062.0,503.15,503.15,502.2,7640410.0,468.7,468.95,489.8,8021661.0,133.75,134.1,130.7,45792723.0,370.4,368.35,375.55,14892188.0,2842.0,2826.55,2809.6,4395979.0,869.0,868.2,848.85,5346619.0,1224.35,1228.85,1223.45,4096716.0,4381.85,4382.75,4442.85,817554.0,501.35,506.5,510.9,3424315.0,365.0,375.95,350.45,74138275.0,98.47671673445585,0.9893362056888269,304318369397.8
9,2020-10-15,315.0,313.4,307.1,4960733.0,350.6,348.95,342.8,2855273.0,2244.0,2227.7,2182.6,2782525.0,2070.0,2071.35,2090.45,4001883.0,473.4,471.3,462.6,28987003.0,3059.95,3054.15,3027.4,1076100.0,6125.0,6100.05,5899.05,781990.0,3368.2,3372.05,3214.75,5268171.0,413.4,413.25,399.2,27855540.0,334.0,332.9,326.65,5411341.0,3790.0,3789.8,3731.0,526411.0,780.65,781.5,768.3,6291197.0,110.85,110.55,110.6,15481821.0,3140.0,3130.45,3111.4,992781.0,5148.65,5123.0,5056.25,1768628.0,2252.05,2253.9,2248.6,1900931.0,760.35,763.6,750.1,1500700.0,899.95,890.45,860.0,15648849.0,1983.0,1979.85,1947.2,5170267.0,1214.2,1211.5,1169.25,14123569.0,573.0,572.35,561.5,1773035.0,3312.0,3310.8,3314.3,1817340.0,174.9,174.2,173.65,19813787.0,2160.0,2158.15,2152.55,2344440.0,406.9,406.8,391.0,34238713.0,622.65,622.65,598.0,14728590.0,1180.0,1137.0,1108.25,44288566.0,167.7,167.8,165.05,27116959.0,291.8,290.65,291.55,10663375.0,1353.35,1353.35,1309.55,3496590.0,913.0,915.2,888.8,4927842.0,620.95,623.85,617.3,3795307.0,7029.0,7002.35,6892.6,681321.0,15700.0,15673.05,15602.75,50244.0,79.1,79.1,79.0,20107632.0,67.0,67.0,66.05,17334497.0,156.6,157.05,155.75,8739514.0,2290.0,2287.5,2206.5,9246893.0,810.6,810.6,804.75,1920570.0,201.0,200.05,192.85,49184944.0,504.7,502.2,490.3,6605327.0,493.0,489.8,474.1,4700097.0,131.5,130.7,126.95,64004610.0,381.0,375.55,373.9,31651023.0,2811.0,2809.6,2740.6,6629395.0,853.0,848.85,812.4,8893099.0,1222.9,1223.45,1213.6,2727329.0,4459.0,4442.85,4383.3,545475.0,510.0,510.9,506.55,4927087.0,351.0,350.45,341.6,38961585.0,98.30381076765849,1.0012161823149,353030415412.25
