Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"1,148.20","1,153.90","1,135.45","1,148.20","1,138.00","1,137.55","1,142.01","1,156.65",877.35,"1,278,608","1,460,188,915.20","80,080",HCLTECH
16-Jun-23,EQ,"1,150.00","1,154.25","1,132.45","1,143.60","1,147.05","1,148.20","1,146.53","1,156.65",877.35,"2,909,817","3,336,179,844.45","83,190",HCLTECH
15-Jun-23,EQ,"1,140.00","1,147.00","1,136.55","1,135.85","1,144.25","1,143.60","1,143.22","1,156.65",877.35,"2,109,652","2,411,793,128.70","131,631",HCLTECH
14-Jun-23,EQ,"1,138.00","1,138.40","1,126.05","1,131.30","1,132.05","1,135.85","1,132.38","1,156.65",877.35,"836,964","947,761,448.55","65,017",HCLTECH
13-Jun-23,EQ,"1,144.95","1,144.95","1,129.30","1,139.65","1,131.20","1,131.30","1,134.57","1,156.65",877.35,"2,014,656","2,285,767,398.20","86,868",HCLTECH
12-Jun-23,EQ,"1,112.95","1,140.95","1,111.50","1,109.75","1,137.80","1,139.65","1,134.44","1,156.65",877.35,"1,670,970","1,895,608,384.10","75,522",HCLTECH
9-Jun-23,EQ,"1,129.10","1,131.00","1,105.95","1,126.75","1,110.00","1,109.75","1,120.05","1,156.65",877.35,"1,824,218","2,043,216,157.85","64,775",HCLTECH
8-Jun-23,EQ,"1,129.05","1,131.25","1,118.30","1,129.05","1,125.00","1,126.75","1,125.63","1,156.65",877.35,"1,385,218","1,559,239,429.55","68,946",HCLTECH
7-Jun-23,EQ,"1,133.80","1,133.80","1,116.20","1,128.60","1,130.55","1,129.05","1,127.38","1,156.65",877.35,"2,459,039","2,772,280,815.05","69,720",HCLTECH
6-Jun-23,EQ,"1,130.00","1,132.30","1,113.75","1,138.30","1,127.50","1,128.60","1,122.72","1,156.65",877.35,"1,943,605","2,182,129,397.75","87,648",HCLTECH
