Date,Open,High,Low,Close,Previous_close,Volume
10/1/2020,11364.4502,11428.59961,11347.04981,11416.9502,"11,247.55",447700
10/5/2020,11487.79981,11578.04981,11452.29981,11503.34961,11416.9502,530600
10/6/2020,11603.4502,11680.29981,11564.29981,11662.40039,11503.34961,561400
10/7/2020,11679.25,11763.04981,11629.34961,11738.84961,11662.40039,513400
10/8/2020,11835.40039,11905.7002,11791.15039,11834.59961,11738.84961,608800
10/9/2020,11852.04981,11938.59961,11805.2002,11914.2002,11834.59961,611100
10/12/2020,11973.54981,12022.04981,11867.2002,11930.9502,11914.2002,522600
10/13/2020,11934.65039,11988.2002,11888.90039,11934.5,11930.9502,458300
10/14/2020,11917.40039,11997.2002,11822.15039,11971.04981,11934.5,569200
10/15/2020,12023.4502,12025.4502,11661.29981,11680.34961,11971.04981,608900
10/16/2020,11727.40039,11789.75,11667.84961,11762.4502,11680.34961,555800
10/19/2020,11879.2002,11898.25,11820.40039,11873.04981,11762.4502,541400
10/20/2020,11861,11949.25,11837.25,11896.79981,11873.04981,453600
10/21/2020,11958.54981,12018.65039,11775.75,11937.65039,11896.79981,623700
10/22/2020,11890,11939.54981,11823.4502,11896.4502,11937.65039,544900
10/23/2020,11957.90039,11974.54981,11908.75,11930.34961,11896.4502,502300
10/26/2020,11937.40039,11942.84961,11711.7002,11767.75,11930.34961,519800
10/27/2020,11807.09961,11899.04981,11723,11889.40039,11767.75,616300
10/28/2020,11922.59961,11929.40039,11684.84961,11729.59961,11889.40039,704000
10/29/2020,11633.29981,11744.15039,11606.4502,11670.79981,11729.59961,555000
10/30/2020,11678.4502,11748.9502,11535.4502,11642.40039,11670.79981,553700
11/2/2020,11697.34961,11725.65039,11557.40039,11669.15039,11642.40039,568400
11/3/2020,11734.4502,11836.2002,11723.29981,11813.5,11669.15039,674300
11/4/2020,11783.34961,11929.65039,11756.40039,11908.5,11813.5,667300
11/5/2020,12062.40039,12131.09961,12027.59961,12120.29981,11908.5,632500
11/6/2020,12156.65039,12280.40039,12131.84961,12263.54981,12120.29981,576800
11/9/2020,12399.40039,12474.04981,12367.34961,12461.04981,12263.54981,553400
